action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,frequency,potential_crash_before_intervention,potential_crash_after_intervention
change_to_right,False,False,False,False,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,False,False,False,False,False,True,True,True,True,swerve_right,1.0,2579,True,False
cruise,False,True,False,False,True,True,False,True,True,change_to_left,1.0,2500,True,True
change_to_left,False,True,False,False,True,True,False,True,True,keep,1.0,2500,True,False
cruise,False,True,False,False,True,True,True,True,True,swerve_right,1.0,4123,True,False
change_to_right,False,True,False,False,True,True,True,True,True,keep,1.0,2869,True,False
change_to_left,False,True,False,False,True,True,True,True,True,change_to_right,1.0,2577,True,True
change_to_right,False,True,False,True,False,False,False,True,True,cruise,1.0,2500,True,False
change_to_left,False,True,False,True,False,False,False,True,True,keep,1.0,2500,True,False
change_to_right,False,True,False,True,False,False,True,True,True,cruise,1.0,2500,True,False
change_to_left,False,True,False,True,False,False,True,True,True,swerve_left,1.0,2502,True,False
change_to_right,False,True,False,True,False,True,False,True,True,swerve_left,1.0,2500,True,False
cruise,False,False,False,False,False,True,True,True,True,swerve_left,1.0,3937,True,False
change_to_left,False,True,False,True,False,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,False,True,False,True,False,True,True,True,True,change_to_right,1.0,2566,True,True
change_to_left,False,True,False,True,False,True,True,True,True,keep,1.0,3488,True,False
change_to_right,False,True,False,True,True,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_left,False,True,False,True,True,False,False,True,True,keep,1.0,2506,True,False
change_to_right,False,True,False,True,True,False,True,True,True,change_to_right,1.0,2501,True,True
change_to_left,False,True,False,True,True,False,True,True,True,change_to_left,1.0,3860,True,True
change_to_right,False,True,False,True,True,True,False,True,True,change_to_left,1.0,2505,True,True
change_to_left,False,True,False,True,True,True,False,True,True,change_to_right,1.0,2500,True,True
change_to_right,False,True,False,True,True,True,True,True,True,swerve_right,1.0,2621,True,False
change_to_left,False,False,False,False,False,True,True,True,True,change_to_left,1.0,2500,True,True
change_to_left,False,True,False,True,True,True,True,True,True,swerve_right,1.0,5049,True,False
cruise,False,True,True,False,False,False,False,True,True,keep,1.0,2500,True,False
change_to_left,False,True,True,False,False,False,False,True,True,swerve_left,1.0,2500,True,False
cruise,False,True,True,False,False,False,True,True,True,swerve_left,1.0,2500,True,False
change_to_left,False,True,True,False,False,False,True,True,True,change_to_right,1.0,2500,True,False
cruise,False,True,True,False,False,True,False,True,True,swerve_left,1.0,2504,True,False
change_to_left,False,True,True,False,False,True,False,True,True,swerve_right,1.0,2500,True,False
cruise,False,True,True,False,False,True,True,True,True,change_to_right,1.0,3333,True,False
change_to_left,False,True,True,False,False,True,True,True,True,change_to_right,1.0,2503,True,False
cruise,False,True,True,False,True,False,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,False,False,False,False,True,False,False,True,True,keep,1.0,2500,True,False
change_to_left,False,True,True,False,True,False,False,True,True,cruise,1.0,2500,True,True
cruise,False,True,True,False,True,False,True,True,True,keep,1.0,2500,True,False
change_to_left,False,True,True,False,True,False,True,True,True,swerve_left,1.0,2509,True,False
cruise,False,True,True,False,True,True,False,True,True,keep,1.0,2501,True,False
change_to_left,False,True,True,False,True,True,False,True,True,change_to_right,1.0,2500,True,False
cruise,False,True,True,False,True,True,True,True,True,change_to_right,1.0,3203,True,False
change_to_left,False,True,True,False,True,True,True,True,True,cruise,1.0,2500,True,True
change_to_left,False,True,True,True,False,False,False,True,True,cruise,1.0,2500,True,False
change_to_left,False,True,True,True,False,False,True,True,True,cruise,1.0,2500,True,False
change_to_left,False,True,True,True,False,True,False,True,True,keep,1.0,2500,True,False
cruise,False,False,False,False,True,False,False,True,True,cruise,1.0,2500,True,True
change_to_left,False,True,True,True,False,True,True,True,True,swerve_right,1.0,2513,True,False
change_to_left,False,True,True,True,True,False,False,True,True,swerve_left,1.0,2501,True,False
change_to_left,False,True,True,True,True,False,True,True,True,change_to_left,1.0,2539,True,True
change_to_left,False,True,True,True,True,True,False,True,True,change_to_left,1.0,2500,True,True
change_to_left,False,True,True,True,True,True,True,True,True,change_to_right,1.0,3021,True,False
change_to_left,True,False,False,False,False,False,False,True,True,keep,1.0,2500,True,False
cruise,True,False,False,False,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,True,False,False,False,False,False,False,True,True,cruise,1.0,2500,True,True
change_to_left,True,False,False,False,False,False,True,True,True,change_to_right,1.0,2500,True,True
cruise,True,False,False,False,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,False,False,False,False,True,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,False,False,False,False,True,True,True,cruise,1.0,2500,True,True
change_to_left,True,False,False,False,False,True,False,True,True,cruise,1.0,2500,True,True
cruise,True,False,False,False,False,True,False,True,True,change_to_left,1.0,2501,True,True
change_to_right,True,False,False,False,False,True,False,True,True,change_to_right,1.0,2500,True,True
change_to_left,True,False,False,False,False,True,True,True,True,change_to_left,1.0,2501,True,True
cruise,True,False,False,False,False,True,True,True,True,cruise,1.0,2500,True,True
change_to_right,True,False,False,False,False,True,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,True,False,False,False,True,False,False,True,True,swerve_right,1.0,2500,True,False
cruise,True,False,False,False,True,False,False,True,True,swerve_right,1.0,2502,True,False
change_to_right,True,False,False,False,True,False,False,True,True,cruise,1.0,2500,True,True
change_to_right,False,False,False,False,True,False,True,True,True,keep,1.0,2500,True,False
change_to_left,True,False,False,False,True,False,True,True,True,swerve_right,1.0,2501,True,False
cruise,True,False,False,False,True,False,True,True,True,change_to_left,1.0,2500,True,True
change_to_right,True,False,False,False,True,False,True,True,True,cruise,1.0,2500,True,True
change_to_left,True,False,False,False,True,True,False,True,True,swerve_left,1.0,2500,True,False
cruise,True,False,False,False,True,True,False,True,True,swerve_left,1.0,2511,True,False
change_to_right,True,False,False,False,True,True,False,True,True,keep,1.0,2500,True,False
change_to_left,True,False,False,False,True,True,True,True,True,keep,1.0,2548,True,False
cruise,True,False,False,False,True,True,True,True,True,keep,1.0,2505,True,False
change_to_right,True,False,False,False,True,True,True,True,True,keep,1.0,2500,True,False
cruise,True,False,False,True,False,False,False,True,True,keep,1.0,2504,True,False
cruise,False,False,False,False,True,False,True,True,True,change_to_left,1.0,2519,True,True
change_to_left,True,False,False,True,False,False,False,True,True,cruise,1.0,2500,True,True
change_to_right,True,False,False,True,False,False,False,True,True,change_to_right,1.0,2504,True,True
cruise,True,False,False,True,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,False,True,False,False,True,True,True,cruise,1.0,2500,True,True
change_to_left,True,False,False,True,False,True,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,False,True,False,True,False,True,True,change_to_right,1.0,2507,True,True
cruise,True,False,False,True,False,True,False,True,True,change_to_left,1.0,2520,True,True
cruise,True,False,False,True,False,True,True,True,True,swerve_right,1.0,2504,True,False
change_to_right,True,False,False,True,False,True,True,True,True,change_to_right,1.0,2500,True,True
cruise,True,False,False,True,True,False,False,True,True,change_to_right,1.0,2503,True,True
change_to_left,False,False,False,False,True,False,True,True,True,cruise,1.0,2556,True,True
change_to_left,True,False,False,True,True,False,False,True,True,cruise,1.0,2500,True,True
change_to_right,True,False,False,True,True,False,False,True,True,swerve_right,1.0,2502,True,False
cruise,True,False,False,True,True,False,True,True,True,keep,1.0,2500,True,False
change_to_right,True,False,False,True,True,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,True,False,False,True,True,True,False,True,True,keep,1.0,2500,True,False
cruise,True,False,False,True,True,True,False,True,True,change_to_left,1.0,2518,True,True
change_to_right,True,False,False,True,True,True,False,True,True,swerve_left,1.0,2508,True,False
cruise,True,False,False,True,True,True,True,True,True,cruise,1.0,2509,True,True
change_to_right,True,False,False,True,True,True,True,True,True,change_to_left,1.0,2500,True,False
change_to_left,True,False,True,False,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,False,False,False,False,True,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,False,True,False,False,False,False,True,True,cruise,1.0,2500,True,False
