action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
change_to_right,False,False,False,False,False,False,False,True,True,keep,0.000999,4.0974037647247314,1,1,2500,True,False,*
change_to_right,False,False,False,False,False,False,False,True,True,swerve_left,0.0010047030467815,4.01947283744812,1,2,NA,True,False,
change_to_right,False,False,False,False,False,False,False,True,True,swerve_right,0.0011323641295041,4.019163370132446,1,3,NA,True,False,
change_to_right,False,False,False,False,False,False,False,True,True,cruise,0.2187829009359636,4.0105180740356445,1,4,NA,True,True,
change_to_right,False,False,False,False,False,False,False,True,True,change_to_left,0.8762121915663587,3.981086492538452,1,5,NA,True,True,
change_to_right,False,False,False,False,False,False,False,True,True,change_to_right,1.0,2.984405279159546,1,6,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,keep,0.000999,4.048961639404297,10,1,2579,True,False,*
change_to_right,False,False,False,False,False,True,True,True,True,swerve_left,0.0010100624620102,4.004725694656372,10,2,NA,True,False,
change_to_right,False,False,False,False,False,True,True,True,True,swerve_right,0.0010304157390567,3.999545097351074,10,3,NA,True,False,
change_to_right,False,False,False,False,False,True,True,True,True,cruise,0.2172382428192436,3.954596757888794,10,4,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,change_to_left,0.8764636221262123,4.004438400268555,10,5,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,change_to_right,1.0,2.988351821899414,10,6,NA,True,True,
cruise,False,True,False,False,True,True,False,True,True,keep,0.000999,4.055586338043213,100,1,2500,True,False,*
cruise,False,True,False,False,True,True,False,True,True,swerve_left,0.0010047030467815,4.005390405654907,100,2,NA,True,False,
cruise,False,True,False,False,True,True,False,True,True,swerve_right,0.0011323641295041,4.062305688858032,100,3,NA,True,False,
cruise,False,True,False,False,True,True,False,True,True,change_to_left,0.8762121964142111,4.008749008178711,100,4,NA,True,True,
cruise,False,True,False,False,True,True,False,True,True,change_to_right,0.8794718697050038,4.03674578666687,100,5,NA,True,True,
cruise,False,True,False,False,True,True,False,True,True,cruise,1.0,3.0017619132995605,100,6,NA,True,True,
change_to_left,False,True,False,False,True,True,False,True,True,keep,0.000999,4.037384748458862,101,1,2500,True,False,*
change_to_left,False,True,False,False,True,True,False,True,True,swerve_left,0.0010047030467815,4.015301465988159,101,2,NA,True,False,
