action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
change_to_right,False,False,False,False,False,False,False,True,True,change_to_left,0.8762121915663587,3.981086492538452,1
change_to_right,False,False,False,False,False,False,False,True,True,change_to_right,1.0,2.984405279159546,1
change_to_right,False,False,False,False,False,False,False,True,True,cruise,0.21878290093596367,4.0105180740356445,1
change_to_right,False,False,False,False,False,False,False,True,True,keep,0.000999,4.0974037647247314,1
change_to_right,False,False,False,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.01947283744812,1
change_to_right,False,False,False,False,False,False,False,True,True,swerve_right,0.0011323641295041124,4.019163370132446,1
cruise,False,False,False,False,False,False,False,True,True,change_to_left,0.876212197701808,4.006200313568115,2
cruise,False,False,False,False,False,False,False,True,True,change_to_right,0.8794805886328114,4.016855478286743,2
cruise,False,False,False,False,False,False,False,True,True,cruise,1.0,3.0200612545013428,2
cruise,False,False,False,False,False,False,False,True,True,keep,0.000999,4.0533528327941895,2
cruise,False,False,False,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.022801399230957,2
cruise,False,False,False,False,False,False,False,True,True,swerve_right,0.0011326605084351412,4.041524171829224,2
change_to_left,False,False,False,False,False,False,False,True,True,change_to_left,1.0,2.973348379135132,3
change_to_left,False,False,False,False,False,False,False,True,True,change_to_right,0.8794779275568858,3.977339744567871,3
change_to_left,False,False,False,False,False,False,False,True,True,cruise,0.21878390272937848,4.017367601394653,3
change_to_left,False,False,False,False,False,False,False,True,True,keep,0.000999,4.053004741668701,3
change_to_left,False,False,False,False,False,False,False,True,True,swerve_left,0.001004703046781545,4.058054208755493,3
change_to_left,False,False,False,False,False,False,False,True,True,swerve_right,0.0011323641295041124,4.033703565597534,3
change_to_right,False,False,False,False,False,False,True,True,True,change_to_left,0.8762121719805926,3.251067638397217,4
change_to_right,False,False,False,False,False,False,True,True,True,change_to_right,1.0,2.2909603118896484,4
change_to_right,False,False,False,False,False,False,True,True,True,cruise,0.21878375752830176,3.2517876625061035,4
change_to_right,False,False,False,False,False,False,True,True,True,keep,0.0009990000000000003,3.323218584060669,4
change_to_right,False,False,False,False,False,False,True,True,True,swerve_left,0.000999345702104248,3.2669126987457275,4
change_to_right,False,False,False,False,False,False,True,True,True,swerve_right,0.0011125114414987434,3.2910923957824707,4
cruise,False,False,False,False,False,False,True,True,True,change_to_left,0.8762125596574926,3.2835240364074707,5
cruise,False,False,False,False,False,False,True,True,True,change_to_right,0.8794836003397596,3.3670248985290527,5
cruise,False,False,False,False,False,False,True,True,True,cruise,1.0,2.214449167251587,5
cruise,False,False,False,False,False,False,True,True,True,keep,0.000999,3.2773897647857666,5
cruise,False,False,False,False,False,False,True,True,True,swerve_left,0.000999345702104248,3.25462007522583,5
cruise,False,False,False,False,False,False,True,True,True,swerve_right,0.0011125114414987434,3.2995717525482178,5
change_to_left,False,False,False,False,False,False,True,True,True,change_to_left,1.0,2.2641525268554688,6
change_to_left,False,False,False,False,False,False,True,True,True,change_to_right,0.8794835885111869,3.300050973892212,6
change_to_left,False,False,False,False,False,False,True,True,True,cruise,0.21877940742376495,3.2809903621673584,6
change_to_left,False,False,False,False,False,False,True,True,True,keep,0.000999,3.3541951179504395,6
change_to_left,False,False,False,False,False,False,True,True,True,swerve_left,0.000999345702104248,3.2716007232666016,6
change_to_left,False,False,False,False,False,False,True,True,True,swerve_right,0.0011125114414987434,3.2359821796417236,6
change_to_right,False,False,False,False,False,True,False,True,True,change_to_left,0.8762125606764855,4.112525463104248,7
change_to_right,False,False,False,False,False,True,False,True,True,change_to_right,1.0,3.0555191040039062,7
change_to_right,False,False,False,False,False,True,False,True,True,cruise,0.21878361972043434,4.092280864715576,7
change_to_right,False,False,False,False,False,True,False,True,True,keep,0.0009989999999999999,4.120443105697632,7
change_to_right,False,False,False,False,False,True,False,True,True,swerve_left,0.001004703046781545,4.087261915206909,7
change_to_right,False,False,False,False,False,True,False,True,True,swerve_right,0.0011326605084351412,4.0886359214782715,7
cruise,False,False,False,False,False,True,False,True,True,change_to_left,0.8762152579524979,4.069477796554565,8
cruise,False,False,False,False,False,True,False,True,True,change_to_right,0.879480575764086,4.045376300811768,8
cruise,False,False,False,False,False,True,False,True,True,cruise,1.0,2.9703752994537354,8
cruise,False,False,False,False,False,True,False,True,True,keep,0.000999,4.049063205718994,8
cruise,False,False,False,False,False,True,False,True,True,swerve_left,0.001004703046781545,4.041073322296143,8
cruise,False,False,False,False,False,True,False,True,True,swerve_right,0.0011326605084351412,4.0745038986206055,8
change_to_left,False,False,False,False,False,True,False,True,True,change_to_left,1.0,2.9999752044677734,9
change_to_left,False,False,False,False,False,True,False,True,True,change_to_right,0.8794839422384425,4.025745868682861,9
change_to_left,False,False,False,False,False,True,False,True,True,cruise,0.2187829057405847,4.00074315071106,9
change_to_left,False,False,False,False,False,True,False,True,True,keep,0.000999,4.083559513092041,9
change_to_left,False,False,False,False,False,True,False,True,True,swerve_left,0.001004703046781545,4.035338878631592,9
change_to_left,False,False,False,False,False,True,False,True,True,swerve_right,0.0011323641295041124,4.02829384803772,9
change_to_right,False,False,False,False,False,True,True,True,True,change_to_left,0.8764636221262123,4.004438400268555,10
change_to_right,False,False,False,False,False,True,True,True,True,change_to_right,1.0,2.988351821899414,10
change_to_right,False,False,False,False,False,True,True,True,True,cruise,0.21723824281924367,3.954596757888794,10
change_to_right,False,False,False,False,False,True,True,True,True,keep,0.000999,4.048961639404297,10
